kepid	koi_period	koi_prad	koi_quarters
10797460	9.488035570	2.26	11111111111111111000000000000000
10797460	54.418382700	2.83	11111111111111111000000000000000
10811496	19.899139950	14.60	11111101110111011000000000000000
10848459	1.736952453	33.46	11111110111011101000000000000000
10854555	2.525591777	2.75	01111111111111111000000000000000
10872983	11.094320540	3.90	01111101110111011000000000000000
10872983	4.134435120	2.77	01111101110111011000000000000000
10872983	2.566588970	1.59	01111101110111011000000000000000
6721123	7.361789580	39.21	11111111111111111000000000000000
10910878	16.068646740	5.76	11111110111011101000000000000000
11446443	2.470613377	13.04	11111110111011101000000000000000
10666592	2.204735417	16.10	11111111111111111000000000000000
6922244	3.522498429	14.59	11111111111111111000000000000000
10984090	3.709214104	1.16	11111111111111111000000000000000
10419211	11.521446064	150.51	11111101110111011000000000000000
10464078	19.403937760	7.18	11111111111111111000000000000000
10480982	19.221388942	49.29	11111101110111011000000000000000
10485250	16.469837740	7.94	01111101110111011000000000000000
10526549	9.273581730	2.47	11111111111111111000000000000000
10583066	6.029303290	2.85	11111111111111111000000000000000
10583180	2.696370652	1.58	11111111111111111000000000000000
10601284	5.349553819	2.55	11111111111111111000000000000000
10601284	3.941052210	1.70	11111111111111111000000000000000
10601284	8.109048070	1.30	11111111111111111000000000000000
2306756	386.603052800	41.50	
10662202	21.676991930	2.95	11111111111111111000000000000000
10682541	4.996779680	2.78	01111101110111011000000000000000
11460018	4.280963604	2.30	11111111111111111000000000000000
11463211	1.506354090	4.53	11111111111111111000000000000000
11465813	670.645531000	14.14	11100011111111111000000000000000
11493732	61.256362800	39.87	11100010111011101000000000000000
11507101	38.377548600	2.82	11111111111111111000000000000000
10910878	41.197255020	3.86	11111110111011101000000000000000
10910878	6.252962249	2.65	11111110111011101000000000000000
10987985	16.013084190	3.10	11101101110111011000000000000000
11018648	32.628766720	3.36	11111110111011101000000000000000
11018648	91.773286200	2.12	11111110111011101000000000000000
11138155	4.959319244	12.21	11111111111111111000000000000000
11152159	2.701287801	6.54	01111101110111011000000000000000
11153539	4.498765110	2.10	11111101110111011000000000000000
11242721	19.651209505	12.42	01101111111111111000000000000000
9579641	5.412203927	2.94	11111111111111111000000000000000
11304958	41.439586620	5.50	11111111111111111000000000000000
11391957	8.353895230	2.52	11111110111011101000000000000000
11403044	4.125543472	4.43	01111111111111111000000000000000
11414511	2.816504904	12.21	11111111111111111000000000000000
11442465	33.933734470	7.34	11111110111011101000000000000000
12110942	3.689920099	1.89	11111111111111111000000000000000
12366084	4.431238488	3.25	11111111111111111000000000000000
12366084	11.379369860	3.95	11111111111111111000000000000000
12404086	26.394328970	3.07	11111111111111111000000000000000
8395660	13.570782810	2.64	11111111111111111000000000000000
9579641	7.125943870	1.79	11111111111111111000000000000000
11656840	7.442652004	15.03	11111111111111111000000000000000
11754553	16.384899880	2.00	11111110111011101000000000000000
11754553	7.877416300	2.16	11111110111011101000000000000000
11754553	36.445400100	1.99	11111110111011101000000000000000
11812062	3.728732147	6.02	11111111111111111000000000000000
11818800	40.419503700	7.51	11111111111111111000000000000000
11853255	2.243380573	1.99	11111110111011101000000000000000
11909839	10.405998015	11.23	01101111111111111000000000000000
11918099	2.337437946	2.34	11111111111111111000000000000000
11918099	7.240661200	19.45	11111111111111111000000000000000
9579641	3.435916310	0.55	11111111111111111000000000000000
11923270	11.598222330	2.65	11111111111111111000000000000000
11960862	6.575315881	5.31	11111111111111111000000000000000
12020329	7.275040844	4.86	11111111111111111000000000000000
12066335	19.271538920	1.93	11111111111111111000000000000000
12066335	10.065243170	1.91	11111111111111111000000000000000
12070811	12.393565100	2.66	11111111111111111000000000000000
8395660	43.844397210	2.87	11111111111111111000000000000000
3120431	3.341913228	21.55	01111111111111111000000000000000
3246984	1.626630225	32.43	11111011101110111000000000000000
3342970	2.711504086	3.12	11111111111111111000000000000000
3342970	7.212037480	3.32	11111111111111111000000000000000
12459725	14.179818700	1.88	
12470844	8.472379110	2.59	11111111111111111000000000000000
12470844	60.418936900	2.36	11111111111111111000000000000000
12644822	12.611904345	7.40	11111111111111111000000000000000
2440757	1.433769925	46.58	11001100110011001000000000000000
2445129	10.318723010	28.59	11111111111111111000000000000000
2713049	2.539183147	2.06	11111111111111111000000000000000
3114167	6.770300385	2.77	11111111111111111000000000000000
3114661	0.444291966	27.51	01111111111111111000000000000000
3115833	10.181584004	7.73	01111111111111111000000000000000
4139816	20.060363360	1.96	11111111111111111000000000000000
4139816	46.184203900	1.83	11111111111111111000000000000000
8395660	23.980085400	1.31	11111111111111111000000000000000
4139816	7.825021680	1.20	11111111111111111000000000000000
4275191	3.895936525	7.34	11111011101110111000000000000000
