kepid	koi_period	koi_time0bk	koi_duration	koi_depth	koi_ror	koi_prad	koi_quarters	koi_disposition
10797460	9.488035570	170.5387500	2.95750	6.1580e+02	0.022344	2.26	11111111111111111000000000000000	CONFIRMED
10797460	54.418382700	162.5138400	4.50700	8.7480e+02	0.027954	2.83	11111111111111111000000000000000	CONFIRMED
10854555	2.525591777	171.5955500	1.65450	6.0330e+02	0.024064	2.75	01111111111111111000000000000000	CONFIRMED
10872983	11.094320540	171.2011600	4.59450	1.5175e+03	0.036779	3.90	01111101110111011000000000000000	CONFIRMED
10872983	4.134435120	172.9793700	3.14020	6.8600e+02	0.026133	2.77	01111101110111011000000000000000	CONFIRMED
10872983	2.566588970	179.5543700	2.42900	2.2650e+02	0.014983	1.59	01111101110111011000000000000000	CONFIRMED
10910878	16.068646740	173.6219370	3.53470	4.9143e+03	0.062161	5.76	11111110111011101000000000000000	CONFIRMED
11446443	2.470613377	122.7633050	1.74319	1.4231e+04	0.123871	13.04	11111110111011101000000000000000	CONFIRMED
10666592	2.204735417	121.3585417	3.88864	6.6747e+03	0.075522	16.10	11111111111111111000000000000000	CONFIRMED
6922244	3.522498429	121.1194228	3.19843	9.1457e+03	0.092086	14.59	11111111111111111000000000000000	CONFIRMED
10984090	3.709214104	133.9831800	2.63020	1.3110e+02	0.010424	1.16	11111111111111111000000000000000	CONFIRMED
10526549	9.273581730	173.2581550	3.28750	1.2883e+03	0.032563	2.47	11111111111111111000000000000000	CONFIRMED
10583066	6.029303290	171.6029590	1.58210	1.9127e+03	0.038838	2.85	11111111111111111000000000000000	CONFIRMED
10601284	5.349553819	171.8069400	3.02780	8.3100e+02	0.025706	2.55	11111111111111111000000000000000	CONFIRMED
10601284	3.941052210	136.0866200	2.59840	3.6330e+02	0.017105	1.70	11111111111111111000000000000000	CONFIRMED
10601284	8.109048070	132.8031000	3.59600	2.1740e+02	0.013127	1.30	11111111111111111000000000000000	CONFIRMED
10662202	21.676991930	171.5359400	3.45550	8.5720e+02	0.032666	2.95	11111111111111111000000000000000	CONFIRMED
10682541	4.996779680	171.7420800	2.17170	9.3470e+02	0.030014	2.78	01111101110111011000000000000000	CONFIRMED
11460018	4.280963604	171.8965900	2.87500	7.5080e+02	0.025377	2.30	11111111111111111000000000000000	CONFIRMED
11507101	38.377548600	172.8204800	5.58800	7.2420e+02	0.024901	2.82	11111111111111111000000000000000	CONFIRMED
10910878	41.197255020	165.0040400	4.62970	2.2139e+03	0.041693	3.86	11111110111011101000000000000000	CONFIRMED
10910878	6.252962249	171.3012600	2.58190	1.0369e+03	0.028604	2.65	11111110111011101000000000000000	CONFIRMED
10987985	16.013084190	176.3608000	3.25540	1.1219e+03	0.034369	3.10	11101101110111011000000000000000	CONFIRMED
11018648	32.628766720	194.1019000	4.79710	1.8048e+03	0.038520	3.36	11111110111011101000000000000000	CONFIRMED
11018648	91.773286200	193.8378000	6.47300	6.5200e+02	0.024320	2.12	11111110111011101000000000000000	CONFIRMED
11153539	4.498765110	171.3490500	3.73620	4.6000e+02	0.019817	2.10	11111101110111011000000000000000	CONFIRMED
9579641	5.412203927	133.1430890	2.94720	6.0160e+02	0.024775	2.94	11111111111111111000000000000000	CONFIRMED
11304958	41.439586620	208.9320300	10.59890	2.7931e+03	0.048175	5.50	11111111111111111000000000000000	CONFIRMED
11391957	8.353895230	171.6325700	2.25140	1.0416e+03	0.029305	2.52	11111110111011101000000000000000	CONFIRMED
11403044	4.125543472	169.7525850	3.17440	1.4873e+03	0.036796	4.43	01111111111111111000000000000000	CONFIRMED
11414511	2.816504904	170.9676846	2.50587	1.6814e+04	0.117059	12.21	11111111111111111000000000000000	CONFIRMED
12110942	3.689920099	170.3657100	2.65570	4.2670e+02	0.018878	1.89	11111111111111111000000000000000	CONFIRMED
12366084	4.431238488	171.0150000	3.15000	1.0109e+03	0.029330	3.25	11111111111111111000000000000000	CONFIRMED
12366084	11.379369860	133.8499200	2.62550	1.0235e+03	0.035628	3.95	11111111111111111000000000000000	CONFIRMED
12404086	26.394328970	176.0545900	3.57300	1.5109e+03	0.036810	3.07	11111111111111111000000000000000	CONFIRMED
8395660	13.570782810	136.2791940	3.35390	5.1170e+02	0.023908	2.64	11111111111111111000000000000000	CONFIRMED
9579641	7.125943870	139.0049200	3.00140	1.9240e+02	0.015120	1.79	11111111111111111000000000000000	CONFIRMED
11754553	16.384899880	172.7278200	3.02490	1.1271e+03	0.029758	2.00	11111110111011101000000000000000	CONFIRMED
11754553	7.877416300	176.3759000	2.08050	1.3061e+03	0.032090	2.16	11111110111011101000000000000000	CONFIRMED
11754553	36.445400100	151.6012500	4.00700	1.1223e+03	0.029681	1.99	11111110111011101000000000000000	CONFIRMED
11812062	3.728732147	171.7932550	2.68300	5.2265e+03	0.068178	6.02	11111111111111111000000000000000	CONFIRMED
11853255	2.243380573	170.6792330	1.11960	8.2170e+02	0.032248	1.99	11111110111011101000000000000000	CONFIRMED
11918099	2.337437946	171.7619820	1.99820	9.7120e+02	0.027998	2.34	11111111111111111000000000000000	CONFIRMED
11923270	11.598222330	180.3953760	2.52370	2.8045e+03	0.051287	2.65	11111111111111111000000000000000	CONFIRMED
11960862	6.575315881	173.6340440	4.30840	2.7933e+03	0.049152	5.31	11111111111111111000000000000000	CONFIRMED
12020329	7.275040844	169.9942170	7.53770	3.0010e+03	0.051358	4.86	11111111111111111000000000000000	CONFIRMED
12066335	19.271538920	186.7709300	2.75940	1.2198e+03	0.031585	1.93	11111111111111111000000000000000	CONFIRMED
12066335	10.065243170	136.2890600	1.36900	1.0533e+03	0.031153	1.91	11111111111111111000000000000000	CONFIRMED
12070811	12.393565100	178.7472500	3.88960	9.1660e+02	0.032536	2.66	11111111111111111000000000000000	CONFIRMED
8395660	43.844397210	151.9353800	6.80200	6.1520e+02	0.025934	2.87	11111111111111111000000000000000	CONFIRMED
3342970	2.711504086	170.0341700	3.00990	8.3750e+02	0.026533	3.12	11111111111111111000000000000000	CONFIRMED
3342970	7.212037480	172.8178200	4.04910	9.5040e+02	0.028255	3.32	11111111111111111000000000000000	CONFIRMED
12470844	8.472379110	174.1621200	2.72450	1.1235e+03	0.030119	2.59	11111111111111111000000000000000	CONFIRMED
12470844	60.418936900	181.1636700	5.03900	9.3130e+02	0.027422	2.36	11111111111111111000000000000000	CONFIRMED
12644822	12.611904345	180.8922840	5.14970	6.1056e+03	0.073758	7.40	11111111111111111000000000000000	CONFIRMED
2713049	2.539183147	169.6749400	2.42820	3.8210e+02	0.017724	2.06	11111111111111111000000000000000	CONFIRMED
3114167	6.770300385	170.5766200	2.08440	1.3040e+03	0.037414	2.77	11111111111111111000000000000000	CONFIRMED
4139816	20.060363360	147.4655400	3.32030	1.4947e+03	0.036455	1.96	11111111111111111000000000000000	CONFIRMED
4139816	46.184203900	165.2372900	4.75800	1.3947e+03	0.033974	1.83	11111111111111111000000000000000	CONFIRMED
8395660	23.980085400	147.5370000	5.35100	1.0400e+02	0.011879	1.31	11111111111111111000000000000000	CONFIRMED
4139816	7.825021680	136.5499500	2.18600	5.2080e+02	0.022312	1.20	11111111111111111000000000000000	CONFIRMED
4275191	3.895936525	170.5275520	2.31110	8.5448e+03	0.086890	7.34	11111011101110111000000000000000	CONFIRMED
4476123	22.366464660	175.4586200	5.22800	9.8680e+02	0.028938	2.32	11111011101110111000000000000000	CONFIRMED
3351888	1.625522174	170.8266564	2.38963	7.9690e+03	0.080543	9.73	11111011101110111000000000000000	CONFIRMED
3641726	9.029306890	177.2042200	3.14490	1.0198e+03	0.028718	2.57	11111111111111111000000000000000	CONFIRMED
3832474	143.206304700	154.2355200	8.93020	1.0566e+04	0.094044	8.90	11111111111111111000000000000000	CONFIRMED
8395660	6.164876000	135.6391600	3.26200	5.5800e+01	0.007192	0.79	11111111111111111000000000000000	CONFIRMED
3832474	60.324942160	243.8925780	6.61880	2.0280e+04	0.128744	12.19	11111111111111111000000000000000	CONFIRMED
3832474	29.159861500	150.6992200	4.80300	4.8800e+02	0.020180	1.91		CONFIRMED
3935914	1.594745374	170.6483505	1.96040	1.5044e+04	0.115879	11.30	01101111111111111000000000000000	CONFIRMED
3940418	4.783002698	170.5084340	2.33500	1.0087e+03	0.028315	2.50	11111111111111111000000000000000	CONFIRMED
4049131	20.505889210	181.4342800	4.05950	2.1055e+03	0.041039	3.41	11111111111111111000000000000000	CONFIRMED
4139816	3.340218842	171.9790620	1.91040	1.6326e+03	0.037683	2.03	11111111111111111000000000000000	CONFIRMED
5358241	18.649327280	174.7710000	4.40560	8.9360e+02	0.027096	3.12	11111111111111111000000000000000	CONFIRMED
10875245	4.901449760	138.6054800	4.16540	1.4070e+02	0.011136	1.70	11111101110111011000000000000000	CONFIRMED
5358241	9.751921010	138.7860800	4.79300	4.1800e+02	0.024042	2.76	11111111111111111000000000000000	CONFIRMED
5358241	38.557654600	163.8506300	5.79400	9.9300e+02	0.034980	4.02	11111111111111111000000000000000	CONFIRMED
5358624	3.525632539	170.0479951	2.59959	2.2335e+04	0.133720	11.58	11111111111111111000000000000000	CONFIRMED
